"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"752" "Spectrum00001.asd" 325 0.017
"753" "Spectrum00001.asd" 326 0.017
"754" "Spectrum00001.asd" 327 0.017
"755" "Spectrum00001.asd" 328 0.016
"756" "Spectrum00001.asd" 329 0.01
"757" "Spectrum00001.asd" 330 0.01
"758" "Spectrum00001.asd" 331 0.015
"759" "Spectrum00001.asd" 332 0.021
"760" "Spectrum00001.asd" 333 0.025
"761" "Spectrum00001.asd" 334 0.026
"762" "Spectrum00001.asd" 335 0.008
"763" "Spectrum00001.asd" 336 -0.01
"764" "Spectrum00001.asd" 337 0.004
"765" "Spectrum00001.asd" 338 0.019
"766" "Spectrum00001.asd" 339 0.025
"767" "Spectrum00001.asd" 340 0.017
"768" "Spectrum00001.asd" 341 0.012
"769" "Spectrum00001.asd" 342 0.021
"770" "Spectrum00001.asd" 343 0.026
"771" "Spectrum00001.asd" 344 0.023
"772" "Spectrum00001.asd" 345 0.01
"773" "Spectrum00001.asd" 346 0.004
"774" "Spectrum00001.asd" 347 0.01
"775" "Spectrum00001.asd" 348 0.011
"776" "Spectrum00001.asd" 349 0.01
"777" "Spectrum00001.asd" 350 0.011
"778" "Spectrum00001.asd" 351 0.013
"779" "Spectrum00001.asd" 352 0.015
"780" "Spectrum00001.asd" 353 0.008
"781" "Spectrum00001.asd" 354 0.004
"782" "Spectrum00001.asd" 355 0.009
"783" "Spectrum00001.asd" 356 0.016
"784" "Spectrum00001.asd" 357 0.02
"785" "Spectrum00001.asd" 358 0.018
"786" "Spectrum00001.asd" 359 0.015
"787" "Spectrum00001.asd" 360 0.013
"788" "Spectrum00001.asd" 361 0.01
"789" "Spectrum00001.asd" 362 0.007
"790" "Spectrum00001.asd" 363 0.007
"791" "Spectrum00001.asd" 364 0.009
"792" "Spectrum00001.asd" 365 0.012
"793" "Spectrum00001.asd" 366 0.011
"794" "Spectrum00001.asd" 367 0.012
"795" "Spectrum00001.asd" 368 0.015
"796" "Spectrum00001.asd" 369 0.013
"797" "Spectrum00001.asd" 370 0.01
"798" "Spectrum00001.asd" 371 0.01
"799" "Spectrum00001.asd" 372 0.012
"800" "Spectrum00001.asd" 373 0.014
"801" "Spectrum00001.asd" 374 0.017
"802" "Spectrum00001.asd" 375 0.015
"803" "Spectrum00001.asd" 376 0.009
"804" "Spectrum00001.asd" 377 0.012
"805" "Spectrum00001.asd" 378 0.019
"806" "Spectrum00001.asd" 379 0.016
"807" "Spectrum00001.asd" 380 0.013
"808" "Spectrum00001.asd" 381 0.013
"809" "Spectrum00001.asd" 382 0.016
"810" "Spectrum00001.asd" 383 0.017
"811" "Spectrum00001.asd" 384 0.013
"812" "Spectrum00001.asd" 385 0.012
"813" "Spectrum00001.asd" 386 0.013
"814" "Spectrum00001.asd" 387 0.015
"815" "Spectrum00001.asd" 388 0.015
"816" "Spectrum00001.asd" 389 0.012
"817" "Spectrum00001.asd" 390 0.012
"818" "Spectrum00001.asd" 391 0.012
"819" "Spectrum00001.asd" 392 0.011
"820" "Spectrum00001.asd" 393 0.01
"821" "Spectrum00001.asd" 394 0.011
"822" "Spectrum00001.asd" 395 0.014
"823" "Spectrum00001.asd" 396 0.016
"824" "Spectrum00001.asd" 397 0.016
"825" "Spectrum00001.asd" 398 0.014
"826" "Spectrum00001.asd" 399 0.012
"827" "Spectrum00001.asd" 400 0.012
"828" "Spectrum00001.asd" 401 0.013
"829" "Spectrum00001.asd" 402 0.013
"830" "Spectrum00001.asd" 403 0.012
"831" "Spectrum00001.asd" 404 0.012
"832" "Spectrum00001.asd" 405 0.011
"833" "Spectrum00001.asd" 406 0.012
"834" "Spectrum00001.asd" 407 0.014
"835" "Spectrum00001.asd" 408 0.014
"836" "Spectrum00001.asd" 409 0.013
"837" "Spectrum00001.asd" 410 0.013
"838" "Spectrum00001.asd" 411 0.012
"839" "Spectrum00001.asd" 412 0.012
"840" "Spectrum00001.asd" 413 0.014
"841" "Spectrum00001.asd" 414 0.014
"842" "Spectrum00001.asd" 415 0.014
"843" "Spectrum00001.asd" 416 0.013
"844" "Spectrum00001.asd" 417 0.013
"845" "Spectrum00001.asd" 418 0.017
"846" "Spectrum00001.asd" 419 0.017
"847" "Spectrum00001.asd" 420 0.015
"848" "Spectrum00001.asd" 421 0.015
"849" "Spectrum00001.asd" 422 0.016
"850" "Spectrum00001.asd" 423 0.017
"851" "Spectrum00001.asd" 424 0.016
"852" "Spectrum00001.asd" 425 0.015
"853" "Spectrum00001.asd" 426 0.017
"854" "Spectrum00001.asd" 427 0.018
"855" "Spectrum00001.asd" 428 0.017
"856" "Spectrum00001.asd" 429 0.017
"857" "Spectrum00001.asd" 430 0.017
"858" "Spectrum00001.asd" 431 0.016
"859" "Spectrum00001.asd" 432 0.017
"860" "Spectrum00001.asd" 433 0.018
"861" "Spectrum00001.asd" 434 0.017
"862" "Spectrum00001.asd" 435 0.017
"863" "Spectrum00001.asd" 436 0.018
"864" "Spectrum00001.asd" 437 0.017
"865" "Spectrum00001.asd" 438 0.016
"866" "Spectrum00001.asd" 439 0.017
"867" "Spectrum00001.asd" 440 0.017
"868" "Spectrum00001.asd" 441 0.017
"869" "Spectrum00001.asd" 442 0.018
"870" "Spectrum00001.asd" 443 0.018
"871" "Spectrum00001.asd" 444 0.018
"872" "Spectrum00001.asd" 445 0.017
"873" "Spectrum00001.asd" 446 0.017
"874" "Spectrum00001.asd" 447 0.018
"875" "Spectrum00001.asd" 448 0.019
"876" "Spectrum00001.asd" 449 0.018
"877" "Spectrum00001.asd" 450 0.019
"878" "Spectrum00001.asd" 451 0.019
"879" "Spectrum00001.asd" 452 0.019
"880" "Spectrum00001.asd" 453 0.018
"881" "Spectrum00001.asd" 454 0.018
"882" "Spectrum00001.asd" 455 0.018
"883" "Spectrum00001.asd" 456 0.018
"884" "Spectrum00001.asd" 457 0.019
"885" "Spectrum00001.asd" 458 0.018
"886" "Spectrum00001.asd" 459 0.017
"887" "Spectrum00001.asd" 460 0.018
"888" "Spectrum00001.asd" 461 0.018
"889" "Spectrum00001.asd" 462 0.017
"890" "Spectrum00001.asd" 463 0.019
"891" "Spectrum00001.asd" 464 0.02
"892" "Spectrum00001.asd" 465 0.019
"893" "Spectrum00001.asd" 466 0.019
"894" "Spectrum00001.asd" 467 0.018
"895" "Spectrum00001.asd" 468 0.018
"896" "Spectrum00001.asd" 469 0.018
"897" "Spectrum00001.asd" 470 0.018
"898" "Spectrum00001.asd" 471 0.019
"899" "Spectrum00001.asd" 472 0.018
"900" "Spectrum00001.asd" 473 0.018
"901" "Spectrum00001.asd" 474 0.019
"902" "Spectrum00001.asd" 475 0.02
"903" "Spectrum00001.asd" 476 0.019
