"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"128422" "Spectrum00205.asd" 325 0.045
"128423" "Spectrum00205.asd" 326 0.046
"128424" "Spectrum00205.asd" 327 0.043
"128425" "Spectrum00205.asd" 328 0.04
"128426" "Spectrum00205.asd" 329 0.042
"128427" "Spectrum00205.asd" 330 0.049
"128428" "Spectrum00205.asd" 331 0.053
"128429" "Spectrum00205.asd" 332 0.033
"128430" "Spectrum00205.asd" 333 0.024
"128431" "Spectrum00205.asd" 334 0.043
"128432" "Spectrum00205.asd" 335 0.051
"128433" "Spectrum00205.asd" 336 0.048
"128434" "Spectrum00205.asd" 337 0.042
"128435" "Spectrum00205.asd" 338 0.033
"128436" "Spectrum00205.asd" 339 0.025
"128437" "Spectrum00205.asd" 340 0.029
"128438" "Spectrum00205.asd" 341 0.036
"128439" "Spectrum00205.asd" 342 0.04
"128440" "Spectrum00205.asd" 343 0.038
"128441" "Spectrum00205.asd" 344 0.035
"128442" "Spectrum00205.asd" 345 0.047
"128443" "Spectrum00205.asd" 346 0.05
"128444" "Spectrum00205.asd" 347 0.038
"128445" "Spectrum00205.asd" 348 0.039
"128446" "Spectrum00205.asd" 349 0.041
"128447" "Spectrum00205.asd" 350 0.03
"128448" "Spectrum00205.asd" 351 0.026
"128449" "Spectrum00205.asd" 352 0.031
"128450" "Spectrum00205.asd" 353 0.029
"128451" "Spectrum00205.asd" 354 0.03
"128452" "Spectrum00205.asd" 355 0.04
"128453" "Spectrum00205.asd" 356 0.035
"128454" "Spectrum00205.asd" 357 0.026
"128455" "Spectrum00205.asd" 358 0.034
"128456" "Spectrum00205.asd" 359 0.039
"128457" "Spectrum00205.asd" 360 0.035
"128458" "Spectrum00205.asd" 361 0.025
"128459" "Spectrum00205.asd" 362 0.02
"128460" "Spectrum00205.asd" 363 0.029
"128461" "Spectrum00205.asd" 364 0.031
"128462" "Spectrum00205.asd" 365 0.027
"128463" "Spectrum00205.asd" 366 0.026
"128464" "Spectrum00205.asd" 367 0.026
"128465" "Spectrum00205.asd" 368 0.027
"128466" "Spectrum00205.asd" 369 0.029
"128467" "Spectrum00205.asd" 370 0.026
"128468" "Spectrum00205.asd" 371 0.017
"128469" "Spectrum00205.asd" 372 0.012
"128470" "Spectrum00205.asd" 373 0.011
"128471" "Spectrum00205.asd" 374 0.014
"128472" "Spectrum00205.asd" 375 0.018
"128473" "Spectrum00205.asd" 376 0.022
"128474" "Spectrum00205.asd" 377 0.024
"128475" "Spectrum00205.asd" 378 0.023
"128476" "Spectrum00205.asd" 379 0.022
"128477" "Spectrum00205.asd" 380 0.019
"128478" "Spectrum00205.asd" 381 0.017
"128479" "Spectrum00205.asd" 382 0.018
